lat,lng,ele
22.445982,114.166098,-11.80
22.445973,114.166110,-11.60
22.445963,114.166120,-11.60
22.445954,114.166135,-11.60
22.445948,114.166156,-11.60
22.445943,114.166171,-11.60
22.445941,114.166173,-11.60
22.445941,114.166168,-11.60
22.445938,114.166162,-11.80
22.445930,114.166147,-11.80
22.445926,114.166132,-12.00
22.445921,114.166113,-12.20
22.445908,114.166091,-12.20
22.445889,114.166058,-12.20
22.445876,114.166012,-12.20
22.445875,114.165969,-12.40
22.445885,114.165931,-12.40
22.445902,114.165890,-12.40
22.445921,114.165845,-12.40
22.445941,114.165799,-12.40
22.445961,114.165754,-12.20
22.445981,114.165711,-12.20
22.446001,114.165667,-12.00
22.446019,114.165619,-11.80
22.446036,114.165578,-11.60
22.446049,114.165533,-11.20
22.446053,114.165487,-11.00
22.446052,114.165439,-10.60
22.446041,114.165388,-10.20
22.446022,114.165342,-10.00
22.446000,114.165299,-9.80
22.445976,114.165258,-9.60
22.445947,114.165212,-9.40
22.445915,114.165172,-9.20
22.445881,114.165141,-9.00
22.445846,114.165114,-8.80
22.445810,114.165088,-8.80
22.445778,114.165058,-8.80
22.445748,114.165027,-8.80
22.445715,114.164996,-8.80
22.445682,114.164969,-8.60
22.445646,114.164946,-8.40
22.445608,114.164923,-8.20
22.445573,114.164902,-8.00
22.445542,114.164882,-7.60
22.445516,114.164865,-7.20
22.445497,114.164847,-6.80
22.445480,114.164827,-6.40
22.445465,114.164812,-6.00
22.445446,114.164800,-5.40
22.445423,114.164795,-4.80
22.445399,114.164798,-4.20
22.445375,114.164806,-3.60
22.445350,114.164816,-3.00
22.445327,114.164828,-2.40
22.445302,114.164836,-2.00
22.445277,114.164847,-1.40
22.445256,114.164862,-0.60
22.445235,114.164877,0.00
22.445213,114.164889,0.60
22.445192,114.164900,1.00
22.445168,114.164915,1.60
22.445144,114.164931,2.00
22.445122,114.164940,2.40
22.445103,114.164940,2.80
22.445084,114.164943,3.20
22.445065,114.164948,3.80
22.445046,114.164948,4.20
22.445030,114.164948,4.60
22.445013,114.164945,5.00
22.444994,114.164940,5.40
22.444974,114.164940,5.80
22.444950,114.164937,6.20
22.444924,114.164929,6.60
22.444900,114.164922,7.20
22.444881,114.164916,7.60
22.444863,114.164912,8.00
22.444847,114.164906,8.40
22.444830,114.164899,8.80
22.444811,114.164891,9.20
22.444792,114.164884,9.80
22.444771,114.164876,10.20
22.444751,114.164868,10.60
22.444736,114.164858,10.80
22.444717,114.164845,11.20
22.444698,114.164835,11.60
22.444684,114.164820,11.80
22.444671,114.164807,12.00
22.444656,114.164800,12.40
22.444642,114.164789,12.60
22.444629,114.164777,13.00
22.444616,114.164769,13.40
22.444598,114.164762,13.80
22.444578,114.164751,14.20
22.444558,114.164733,14.60
22.444540,114.164713,15.20
22.444517,114.164698,15.60
22.444492,114.164683,16.00
22.444470,114.164665,16.40
22.444448,114.164644,16.60
22.444432,114.164629,17.00
22.444418,114.164611,17.20
22.444407,114.164591,17.40
22.444390,114.164576,17.60
22.444374,114.164558,17.80
22.444359,114.164538,18.00
22.444339,114.164522,18.40
22.444321,114.164504,18.60
22.444300,114.164481,18.80
22.444278,114.164461,19.20
22.444253,114.164443,19.60
22.444232,114.164423,20.00
22.444210,114.164413,20.40
22.444186,114.164411,20.80
22.444164,114.164406,21.20
22.444141,114.164403,21.80
22.444122,114.164390,22.20
22.444107,114.164370,22.40
22.444089,114.164354,22.80
22.444065,114.164336,23.00
22.444043,114.164316,23.20
22.444022,114.164295,23.20
22.443998,114.164265,23.20
22.443970,114.164231,23.20
22.443938,114.164196,23.00
22.443904,114.164163,22.80
22.443868,114.164125,22.60
22.443828,114.164090,22.60
22.443788,114.164062,22.40
22.443745,114.164042,22.40
22.443692,114.164024,22.20
22.443652,114.164003,22.20
22.443608,114.163988,22.20
22.443574,114.163967,22.40
22.443546,114.163940,22.40
22.443519,114.163913,22.40
22.443493,114.163883,22.60
22.443471,114.163851,22.60
22.443452,114.163809,22.80
22.443437,114.163766,22.80
22.443428,114.163727,23.00
22.443424,114.163684,23.00
22.443425,114.163643,23.20
22.443429,114.163599,23.20
22.443435,114.163561,23.40
22.443440,114.163524,23.40
22.443444,114.163491,23.40
22.443444,114.163457,23.60
22.443436,114.163422,23.60
22.443419,114.163378,23.60
22.443400,114.163339,23.80
22.443388,114.163302,23.80
22.443383,114.163260,23.80
22.443382,114.163213,23.80
22.443389,114.163170,23.80
22.443403,114.163126,24.00
22.443414,114.163087,24.00
22.443421,114.163053,24.00
22.443433,114.163019,24.00
22.443452,114.162980,24.00
22.443468,114.162940,24.00
22.443477,114.162885,24.00
22.443476,114.162825,24.00
22.443471,114.162771,24.20
22.443464,114.162723,24.20
22.443459,114.162674,24.40
22.443455,114.162628,24.40
22.443456,114.162581,24.60
22.443455,114.162538,24.80
22.443454,114.162499,25.20
22.443452,114.162460,25.40
22.443446,114.162425,25.60
22.443433,114.162395,25.80
22.443420,114.162364,26.20
22.443405,114.162330,26.40
22.443390,114.162292,26.60
22.443373,114.162254,26.80
22.443358,114.162222,26.80
22.443343,114.162196,27.00
22.443324,114.162166,27.00
22.443307,114.162135,27.20
22.443295,114.162105,27.20
22.443280,114.162078,27.20
22.443263,114.162052,27.20
22.443247,114.162024,27.40
22.443234,114.161998,27.60
22.443220,114.161967,27.80
22.443207,114.161937,28.00
22.443193,114.161907,28.40
22.443178,114.161879,28.80
22.443165,114.161853,29.00
22.443155,114.161820,29.40
22.443142,114.161785,29.80
22.443128,114.161754,30.00
22.443119,114.161724,30.40
22.443112,114.161691,30.60
22.443105,114.161655,30.80
22.443095,114.161624,31.00
22.443084,114.161591,31.20
22.443077,114.161553,31.20
22.443061,114.161515,31.40
22.443038,114.161474,31.60
22.443006,114.161431,31.60
22.442971,114.161389,31.80
22.442936,114.161344,32.20
22.442908,114.161298,32.60
22.442888,114.161249,33.00
22.442874,114.161198,33.60
22.442860,114.161156,33.60
22.442836,114.161120,33.60
22.442807,114.161090,33.40
