name,location,distance_km,total_ascent_m,avg_gradient,max_gradient,gradient_3_distance_km,gradient_5_distance_km,gradient_7_distance_km,gradient_10_distance_km,gradient_13_distance_km,gradient_17_distance_km,gradient_20_distance_km,gradient_25_distance_km,gradient_30_distance_km,gradient_40_distance_km,path_group_id,youtube_link
下城門水塘,大圍,2.03,106.43,5.25,16.12,23.625,20.906,16.222,7.655,2.709,0,0,0,0,0,下城門水塘,dnpPCW3t1Dg
大埔舊路-大埔-火炭,大埔,8.24,116.46,1.41,7.58,25.933,16.791,1.207,0,0,0,0,0,0,0,大埔舊路-大埔-火炭,EeWI7nKYDwE
大埔舊路-火炭-大埔,火炭,8.24,112.04,1.36,5.52,37.845,19.7,0,0,0,0,0,0,0,0,大埔舊路-火炭-大埔,EeWI7nKYDwE
水泉澳-正街,沙田圍,1.73,141.1,8.15,11.28,30.209,27.352,24.122,11.612,0,0,0,0,0,0,水泉澳-正街,
水泉澳-多石街,沙田圍,2.12,144.78,6.83,12.76,32.106,29.779,27.31,10.408,0,0,0,0,0,0,水泉澳-多石街,IgDH_xFuWak
牛潭尾濾水廠-In,牛潭尾,6.34,93.58,1.48,14.39,23.389,11.08,7.086,2.679,1,0,0,0,0,0,牛潭尾濾水廠-In,
牛潭尾濾水廠-Out,牛潭尾,6.34,67.94,1.07,36.09,15.395,11.959,5.236,1.695,0.164,0.081,0.055,0.022,0.012,0,牛潭尾濾水廠-Out,
打鐵屻,大埔,1.61,120.67,7.49,16.12,30.368,25.395,18.302,6.016,1.216,0,0,0,0,0,打鐵屻,x4V3ZmpPegU
石蓮路,大埔,1.09,121.6,11.13,21.06,19.173,16.401,14.059,11.118,8.785,6.328,0.683,0,0,0,石蓮路,EZFMSOSEDRE
石壁水塘-天壇大佛,東涌,5.34,362.5,6.79,15.9,65.312,58.616,55.452,37.733,10.926,0,0,0,0,0,石壁水塘-天壇大佛,
伯公坳-from-東涌,東涌,5.44,333.29,6.12,18.02,54.176,50.157,44.192,39.349,24.232,1.069,0,0,0,0,伯公坳-from-東涌,
伯公坳-to-東涌,東涌,2.88,209.33,7.26,16.63,40.484,38.194,36.841,24.216,2.296,0,0,0,0,0,伯公坳-to-東涌,
沙田獅子亭,火炭,2.51,171.54,6.82,10.96,42.126,40.166,33.752,1.788,0,0,0,0,0,0,沙田獅子亭,BIrZkHn7rRY
沙螺洞,大埔,1.95,192.51,9.86,16.69,36.49,34.677,30.999,24.053,3.211,0,0,0,0,0,沙螺洞,gLBpfNmevbI
亞公角,沙田,1.32,114.13,8.66,12.21,25.829,25.408,22.88,4.709,0,0,0,0,0,0,亞公角,Pft0lDoZlzY
林錦公路-to-大埔,錦田,6.15,127.39,2.07,12.98,22.708,20.191,17.851,14.602,0,0,0,0,0,0,林錦公路-to-大埔,
林錦公路-to-石崗,大埔,6.15,157.89,2.57,11.9,34.836,24.201,15.226,8.226,0,0,0,0,0,0,林錦公路-to-石崗,
波波,大帽山,4.71,450.6,9.56,17.15,88.808,87.203,71.024,48.743,15.501,0.138,0,0,0,0,,
波牌-from-石崗,大帽山,5.28,419.34,7.94,16.02,95.591,90.662,76.031,23.869,2.017,0,0,0,0,0,波牌-from-石崗,
泮涌路,大埔,0.75,44.66,5.93,19.29,8.335,5.73,3.954,3.336,2.448,1.338,0,0,0,0,泮涌路,DBl5dWHDANg
紅花嶺,坪輋,3.33,354.76,10.64,26.27,56.716,50.394,45.939,38.679,29.076,9.377,3.85,0.854,0,0,紅花嶺,m-JgppthSQo
馬鞍山村路,馬鞍山,2.81,206.21,7.33,15.65,44.931,36.536,31.343,14.949,6.94,0,0,0,0,0,馬鞍山村路,8v4AoWvh6b0&t=912s
梅子林,大水坑,1.82,81.94,4.5,11.64,22.587,16.612,10.464,1.432,0,0,0,0,0,0,梅子林,acjNb-U-txs
鹿頸(去),大尾篤,7.39,101.9,1.38,7.43,32.41,16.652,1.08,0,0,0,0,0,0,0,鹿頸(去),i4XBpOLCzR0
鹿頸(回),鹿頸,7.12,137.79,1.94,9.4,40.375,24.884,2.066,0,0,0,0,0,0,0,鹿頸(回),i4XBpOLCzR0
萬佛寺,沙田,0.43,76.92,17.69,33.85,7.583,7.528,7.367,7.151,6.985,5.956,3.193,1.276,0.62,0,萬佛寺,ftcj0uoG4Tw
道風山,大圍,1.73,121.74,7.05,13.89,25.344,24.443,21.749,10.25,0.798,0,0,0,0,0,道風山,dASLaGmQl9E
樟樹灘,大埔,0.58,67.99,11.8,19.16,10.951,10.758,9.029,7.783,5.384,1.47,0,0,0,0,樟樹灘,dgvqLgt0vFo&t=261s
優景,大學,1.25,61.46,4.93,10.41,17.847,13.995,5.057,0.567,0,0,0,0,0,0,優景,tsV53k0YCBg
麗坪路,大學,3.1,194.36,6.27,13.05,47.333,31.527,28.607,14.553,0.197,0,0,0,0,0,麗坪路,vuPlBvpAORI
露輝路,大埔,1.1,75.37,6.87,10.71,16.977,15.506,13.531,4.513,0,0,0,0,0,0,露輝路,tsTTXi2NdrM
觀坪路,飛鵝山,4.45,455.22,10.23,28.42,75.577,71.829,63.567,49.57,28.547,10.768,2.982,0.758,0,0,觀坪路,